00601.ppm;87;455;136;503;1;1.0
00601.ppm;1099;583;1132;615;2;1.0
00602.ppm;439;539;476;576;1;1.0
00602.ppm;1269;557;1296;582;1;1.0
00603.ppm;361;443;418;503;1;1.0
00604.ppm;365;482;438;549;2;1.0
00604.ppm;1160;621;1190;649;2;1.0
00605.ppm;850;504;877;531;1;1.0
00605.ppm;170;515;203;546;1;1.0
00609.ppm;310;512;342;546;1;1.0
00609.ppm;809;506;842;539;1;1.0
00609.ppm;36;613;58;634;1;1.0
00611.ppm;839;488;872;521;1;1.0
00611.ppm;843;522;869;548;1;1.0
00612.ppm;129;543;199;611;6;1.0
00613.ppm;477;544;514;582;1;1.0
00613.ppm;1135;564;1163;594;1;1.0
00615.ppm;880;530;926;574;2;1.0
00615.ppm;888;569;919;601;1;1.0
00615.ppm;375;532;421;576;2;1.0
00615.ppm;387;573;412;598;1;1.0
00619.ppm;841;414;880;453;5;1.0
00621.ppm;784;446;806;467;1;1.0
00622.ppm;820;431;852;461;2;1.0
00623.ppm;971;372;1034;438;1;1.0
00624.ppm;385;504;434;555;6;1.0
00624.ppm;823;466;843;486;1;1.0
00625.ppm;1036;376;1103;445;1;1.0
00626.ppm;857;403;895;443;1;1.0
00626.ppm;855;441;894;481;1;1.0
00630.ppm;1227;323;1277;377;1;1.0
00631.ppm;801;481;828;508;1;1.0
00632.ppm;105;382;143;420;1;1.0
00633.ppm;634;454;668;487;2;1.0
00634.ppm;524;370;572;418;1;1.0
00635.ppm;825;423;865;462;1;1.0
00637.ppm;866;400;917;448;2;1.0
00638.ppm;917;379;949;412;1;1.0
00639.ppm;286;503;337;554;6;1.0
00639.ppm;297;515;327;542;6;1.0
00640.ppm;1102;350;1177;426;1;1.0
00644.ppm;75;511;131;573;6;1.0
00645.ppm;1039;316;1085;362;1;1.0
00649.ppm;1285;527;1327;567;1;0.9999999448446049
00650.ppm;261;365;286;391;2;1.0
00651.ppm;805;409;845;451;1;1.0
00651.ppm;795;347;853;401;2;1.0
00655.ppm;48;373;72;399;1;1.0
00656.ppm;577;468;596;487;1;1.0
00657.ppm;992;398;1026;436;1;1.0
00659.ppm;993;430;1033;470;1;1.0
00660.ppm;943;421;980;459;1;1.0
00661.ppm;1142;404;1166;428;1;1.0
00662.ppm;943;436;1000;491;2;1.0
00663.ppm;860;371;879;391;1;1.0
00664.ppm;849;437;881;470;1;1.0
00668.ppm;1082;251;1173;342;1;1.0
00669.ppm;898;394;949;445;1;1.0
00670.ppm;996;305;1064;374;1;1.0
00671.ppm;845;392;883;429;1;1.0
00671.ppm;839;348;891;396;2;1.0
00672.ppm;887;271;945;329;2;1.0
00672.ppm;118;260;200;335;5;1.0
00673.ppm;430;418;474;460;2;1.0
00673.ppm;312;429;334;453;1;1.0
00674.ppm;719;374;747;401;1;1.0
00675.ppm;641;503;677;537;6;1.0
00675.ppm;670;396;707;433;2;1.0
00675.ppm;944;397;980;435;2;1.0
00675.ppm;1013;391;1037;416;5;1.0
00678.ppm;703;406;737;438;5;1.0
00679.ppm;704;341;768;408;1;1.0
00680.ppm;898;392;954;450;1;1.0
00681.ppm;823;437;844;457;1;1.0
00682.ppm;263;527;297;560;6;1.0
00685.ppm;614;505;660;554;6;1.0
00686.ppm;377;435;413;474;1;1.0
00688.ppm;850;409;886;446;1;1.0
00688.ppm;401;428;434;461;1;1.0
00688.ppm;962;270;1023;331;1;1.0
00688.ppm;746;366;768;388;1;1.0
00689.ppm;594;492;618;514;2;1.0
00691.ppm;885;489;909;515;1;1.0
00692.ppm;1050;357;1092;399;1;1.0
00693.ppm;988;387;1020;419;1;1.0
00695.ppm;964;272;1000;309;1;1.0
00697.ppm;942;320;1022;393;2;1.0
00698.ppm;741;416;762;440;1;1.0
00699.ppm;729;416;754;443;1;1.0
00700.ppm;854;352;906;400;5;1.0
00701.ppm;1046;394;1089;439;1;1.0
00703.ppm;1005;365;1037;397;1;1.0
00704.ppm;770;414;791;436;1;1.0
00705.ppm;306;200;336;230;2;1.0
00705.ppm;953;341;992;378;1;1.0
00707.ppm;910;386;940;416;1;1.0
00710.ppm;1080;197;1166;287;1;1.0
00712.ppm;931;359;985;416;1;1.0
00714.ppm;781;310;830;359;1;1.0
00715.ppm;283;354;341;414;6;1.0
00715.ppm;820;357;840;377;1;1.0
00716.ppm;819;333;871;384;1;1.0
00717.ppm;838;437;857;457;1;1.0
00719.ppm;936;394;962;422;1;1.0
00721.ppm;1065;510;1085;529;1;1.0
00722.ppm;990;328;1052;385;2;1.0
00722.ppm;112;373;157;415;2;1.0
00723.ppm;741;358;807;422;2;1.0
00723.ppm;188;373;230;411;2;1.0
00728.ppm;501;568;528;593;2;1.0
00729.ppm;535;489;571;523;1;1.0
00730.ppm;464;442;513;491;1;1.0
00730.ppm;1057;522;1079;544;1;1.0
00733.ppm;441;582;490;632;6;1.0
00733.ppm;508;425;544;462;1;1.0
00733.ppm;940;526;962;548;1;1.0
00734.ppm;1088;448;1169;532;1;1.0
00737.ppm;607;445;634;470;5;1.0
00737.ppm;475;452;501;476;5;1.0
00738.ppm;555;605;585;633;6;1.0
00738.ppm;1280;146;1308;173;1;1.0
00740.ppm;489;512;534;560;1;1.0
00740.ppm;1168;515;1207;554;1;1.0
00741.ppm;441;562;462;582;1;1.0
00741.ppm;975;559;996;580;1;1.0
00742.ppm;960;554;996;587;1;1.0
00742.ppm;334;562;368;596;1;1.0
00746.ppm;234;467;282;517;1;1.0
00746.ppm;235;512;281;562;1;1.0
00746.ppm;1141;540;1178;576;1;1.0
00746.ppm;1139;497;1176;533;1;1.0
00749.ppm;1153;548;1201;594;1;1.0
00749.ppm;301;553;347;598;1;1.0
